word,part_of_speech,is_ste,approved_meaning,ste_example,non_ste_example
DIRECTLY,adverb,1,In a direct procedure or by direct effect,DO NOT FILL THE SYSTEM DIRECTLY FROM A HIGH-PRESSURE STORAGE CYLINDER.,
DIRTY (adjective),"DIRTIER, DIRTIEST",1,Not clean,A DIRTY CONTACT IN THE CONNECTION UNITS WILL CAUSE THEM TO OPERATE INCORRECTLY.,
"DISARM (verb) , DISARMS, DISARMED, DISARMED",,1,1. To remove armaments,DISARM THE AIRCRAFT.,
"DISASSEMBLE (verb) , DISASSEMBLES, DISASSEMBLED, DISASSEMBLED",,1,To take an assembly apart,DISASSEMBLE THE VALVE ASSEMBLY.,
"DISCARD (verb) , DISCARDS, DISCARDED, DISCARDED",,1,To not use again,REMOVE THE O-RINGS AND DISCARD THEM.,
"DISCONNECT (verb) , DISCONNECTS, DISCONNECTED, DISCONNECTED",,1,"To separate something from the thing that it is connected to, or to become separated",DISCONNECT THE POWER SUPPLY.,
"DISENGAGE (verb) , DISENGAGES, DISENGAGED, DISENGAGED",,1,To release or become released from something that engages,"BEFORE YOU START THE ENGINE, DISENGAGE THE CLUTCH.",
DISPLAY,noun,1,A visual indication,A NUMBER IN THE TOP LEFT CORNER OF THE DISPLAY REFERS TO THE RELATED PAGE.,
DISTANCE,noun,1,The dimension between two points or objects,MEASURE THE DISTANCE BETWEEN POINTS “A” AND “B.”,
"DIVIDE (verb) , DIVIDES, DIVIDED, DIVIDED",,1,1. To separate into parts or groups,YOU CAN DIVIDE THE DRAINS INTO THREE GROUPS.,
"DIVIDE (verb) , DIVIDES, DIVIDED, DIVIDED",,1,2. To do mathematical division,"TO FIND THE MIDDLE POINT, DIVIDE THE MEASURED CLEARANCE BY TWO.",
"DO (verb) , DOES, DID, DONE",,1,"1. To complete a procedure, task, or step",DO A FUNCTIONAL TEST.,
DOWN,adjective,1,In a position below,MAKE SURE THAT THE ANCHOR IS DOWN.,
DOWN,adverb,1,To a position below,THE POINTER MOVES DOWN.,
DOWN,preposition,1,To a position below,LET THE SLEEVE MOVE DOWN THE GUIDE TUBE.,
DOWNSTREAM,adjective,1,In the direction of the flow,DISCONNECT THE DOWNSTREAM CONNECTION.,
DOWNSTREAM,adverb,1,In the direction of the flow,MOVE THE PROBE DOWNSTREAM AND MONITOR THE TEMPERATURE AGAIN.,
DOWNSTREAM OF,preposition,1,In the direction of the flow,DISCONNECT THE CONNECTION WHICH IS DOWNSTREAM OF THE VALVE.,
"DRAIN (verb) , DRAINS, DRAINED, DRAINED",,1,To remove liquid,DRAIN THE SYSTEM FULLY.,
"DRINK (verb) , DRINKS, DRANK, No other verb forms.",,1,"To consume liquid For safety instructions, use:",DO NOT DRINK IN THE WORK AREA.,
DROP,noun,1,A small quantity of liquid in a spherical shape,MAKE SURE THAT NO DROPS OF ADHESIVE FALL ONTO THE MATERIAL.,
DRY (adjective),"DRIER, DRIEST",1,Without liquid or moisture,MAKE SURE THAT THE SURFACE IS DRY.,
"DRY (verb) , DRIES, DRIED, DRIED",,1,"To remove liquid or moisture, or to become dry",DRY THE FILTER IN AN OVEN.,
DURING,preposition,1,In or for a specified time,MONITOR THE INDICATIONS DURING THE RETRACTION TEST.,
EACH,adjective,1,"Every one of two or more objects or persons, seen together as a group but identified separately",MAKE SURE THAT THE SWITCH IN EACH PANEL IS SET TO “OFF.”,
EACH,pronoun,1,"Every one of two or more objects or persons, seen together as a group but identified separately","INSTALL TWO SPACERS, EACH WITH A THICKNESS OF 3.5 mm.",
EACH OTHER,pronoun,1,Each of two or more in reciprocal action or relation,"WHEN YOU REMOVE THE PROBES, DO NOT LET THEM TOUCH EACH OTHER.",
EASILY,adverb,1,Without difficulty,OXIDATION OCCURS VERY EASILY.,
EASY (adjective),"EASIER, EASIEST",1,Without difficulty,USE THE LEFT OPENING FOR EASY ACCESS.,
EAT,verb,1,"To consume food For safety instructions, use:",DO NOT EAT IN THE WORK AREA.,
EDGE,noun,1,A line that is the intersection of two surfaces of a solid object,THE DISTANCE BETWEEN THE EDGE OF THE PANEL AND THE PARTITION MUST NOT BE MORE THAN 0.05 mm.,
EFFECT,noun,1,The result of a cause,"WHEN DUST MIXES WITH OIL, IT HAS AN ABRASIVE EFFECT.",
"EJECT (verb) , EJECTS, EJECTED, EJECTED",,1,To move or to cause a person or item to move from an aircraft or equipment with force,"IF YOU PULL THE EJECTION SEAT HANDLE, THE SEAT WILL EJECT.",
ELECTRIC,adjective,1,Operated by electricity,"IF THE HYDRAULIC PUMP DOES NOT SUPPLY A PRESSURE OF 3000 psi , USE THE ELECTRIC PUMP.",
ELECTRICAL,adjective,1,Related to electricity,SUPPLY ELECTRICAL POWER TO THE SYSTEM.,
ELECTRICALLY,adverb,1,Related to or operated by electricity,THE SYSTEM IS HYDRAULICALLY OPERATED AND ELECTRICALLY CONTROLLED.,
ELECTROMAG- NETIC,adjective,1,Related to electromagnetism,THE ELECTROMAGNETIC TEST PROCEDURE USES ELECTROMAGNETIC FORCE.,
ELECTROMAG- NETICALLY,adverb,1,Related to electromagnetism,THE SYSTEM OPERATES ELECTROMAG- NETICALLY.,
ELECTRONIC,adjective,1,Related to or operated by electronics,THIS BAY CONTAINS SOME OF THE ELECTRONIC EQUIPMENT.,
ELECTRONICALLY,adverb,1,Related to or operated by electronics,THIS UNIT IS ELECTRONICALLY CONTROLLED.,
EMERGENCY,noun,1,A condition that occurs suddenly and is dangerous,"IN AN EMERGENCY, BREAK THE GLASS.",
EMPTY,adjective,1,Without contents,MAKE SURE THAT THE RESERVOIR IS EMPTY.,
END,noun,1,"Where time, distance, or sequence are completed",EXAMINE THE SHACKLE AT THE END OF THE SLING.,
"ENERGIZE (verb) , ENERGIZES, ENERGIZED, ENERGIZED",,1,To supply electrical power to,ENERGIZE THE AC AND DC BUSBARS.,
"ENGAGE (verb) , ENGAGES, ENGAGED, ENGAGED",,1,To correctly align and come together,ENGAGE THE CLUTCH.,
ENTRANCE,noun,1,An opening to go into a space,PUT SAFETY BARRIERS AT THE ENTRANCE TO THE WORK AREA.,
ENTRY,noun,1,A record of an occurrence,MAKE AN ENTRY IN THE LOG CARD.,
EQUAL,adjective,1,"The same dimension, quality, quantity, or number",MAKE SURE THAT THERE IS AN EQUAL DISTANCE BETWEEN THE HOLES.,
EQUALLY,adverb,1,"The same dimension, quality, quantity, or number",ADJUST THE TURNBUCKLES EQUALLY.,
EQUIPMENT,noun,1,The objects or tools used for operation and maintenance,REMOVE ALL THE EQUIPMENT FROM THE WORK AREA.,
EQUIVALENT,adjective,1,"Has the same properties, functions, or values",MATERIALS (REF. No. 2) AND (REF. No. 18) ARE EQUIVALENT.,
EQUIVALENT,noun,1,"Something that has the same properties, functions, or values","USE CLEANING COMPOUND ARDROX 6025, OR AN EQUIVALENT.",
"ERASE (verb) , ERASES, ERASED, ERASED",,1,To remove data from a medium,ERASE THE TAPE.,
ERROR,noun,1,The difference from that which is correct or accurate,"IF THE ERROR IS MORE THAN 3 DEG., CALIBRATE THE COMPASS.",
ESTIMATE,noun,1,"A calculated, approximate result",MAKE AN ESTIMATE OF THE NECESSARY QUANTITY OF PAINT.,
"EXAMINE (verb) , EXAMINES, EXAMINED, EXAMINED",,1,To look carefully at,EXAMINE THE COMPUTER FOR DAMAGE.,
EXAMPLE,noun,1,Something from a group which has the same qualities as the group,FIGURE 2 IS AN EXAMPLE OF A REPAIR PROCEDURE FOR A DAMAGED WEB.,
EXHAUST,noun,1,The gas from an engine,THE EXHAUST FROM THE APU IS DANGEROUS.,
EXIT,noun,1,An opening to go out of a space,MAKE SURE THAT ALL THE EMERGENCY EXITS ARE CLEAR OF UNWANTED OBJECTS.,
"EXPAND (verb) , EXPANDS, EXPANDED, EXPANDED",,1,"To increase in dimension, volume, or time",THE BELLOWS MUST EXPAND.,
EXPIRED,adjective,1,More than the permitted life,MAKE SURE THAT THE SHELF LIFE IS NOT EXPIRED.,
EXPLOSION,noun,1,The effect when an explosive material quickly releases its energy,THIS CONDITION CAN CAUSE AN EXPLOSION.,
EXPLOSIVE,adjective,1,That can cause an explosion,THE SAFETY PRECAUTIONS THAT FOLLOW ARE APPLICABLE TO EXPLOSIVE ITEMS.,
"EXTEND (verb) , EXTENDS, EXTENDED, EXTENDED",,1,"To increase, or cause something to increase, in dimension or range",FULLY EXTEND THE JACK RAM.,
EXTENSION,noun,1,1. The action when something extends,MAKE SURE THAT THE EXTENSION OF THE ACTUATOR IS SMOOTH.,
EXTERNAL,adjective,1,"Of, or on, the outer side",CONNECT THE EXTERNAL POWER SUPPLY.,
EXTERNALLY,adverb,1,"Of, or on, the outer side",THE CONTROL BOX IS INSTALLED EXTERNALLY.,
"EXTINGUISH (verb) , EXTINGUISHES, EXTINGUISHED, EXTINGUISHED",,1,To stop burning,"TO EXTINGUISH A FIRE IN THE ENGINE, ACTIVATE THE FIRE SUPPRESSION SYSTEM IMMEDIATELY.",
FACE,noun,1,The front surface of an object,CLEAN THE FACE OF THE INDICATOR.,
FACE,noun,1,This word is a technical noun when it refers to a part of the body.,"WHEN YOU DO MAINTENANCE ON THE WASTE WATER SYSTEM, DO NOT TOUCH YOUR FACE WITH YOUR GLOVES.",
FACT,noun,1,Something that occurred or is correct,GET ALL THE FACTS ABOUT THE INCIDENT FROM THE PILOT.,
"FALL (verb) , FALLS, FELL, FALLEN",,1,To move down by the force of gravity,MAKE SURE THAT THE TOOLS DO NOT FALL INTO THE ENGINE.,
FAR (adjective),"FARTHER, FARTHEST",1,At or to a relatively large distance,REMOVE THE BOLT THAT IS FARTHEST FROM THE CENTER.,
FAST (adjective),"FASTER, FASTEST",1,At high speed,A FAST MOVEMENT OF THE THROTTLE WILL CAUSE A SURGE.,
"FEATHER (verb) , FEATHERS, FEATHERED, FEATHERED",,1,To put a propeller to a position of minimum drag,PUT THE CONDITION LEVER IN THE FTR POSITION TO FEATHER THE PROPELLER.,
"FEEL (verb) , FEELS, FELT, FELT",,1,To touch to find,CAREFULLY LIFT THE MAGNETIC LEVEL INDICATOR UNTIL YOU FEEL THE MAGNETS.,
"FILL (verb) , FILLS, FILLED, FILLED",,1,"To put into a container or a space to the maximum level or, if specified, to a given level, pressure, or quantity",FILL THE TANK WITH METHANOL.,
FILTERED,adjective,1,That has gone through a filter,DRY THE UNIT WITH LOW-PRESSURE FILTERED AIR.,
"FIND (verb) , FINDS, FOUND, FOUND",,1,"To discover, to examine something so that you know",YOU CAN FIND THE NUMBERS ON THE SWITCH.,
FINISH,noun,1,The result of a finishing procedure,DO NOT CAUSE DAMAGE TO THE SURFACE FINISH OF THE HOUSING.,
FIRE,noun,1,The light and/or heat from a material when it burns,"IF THERE IS A FIRE IN THE ENGINE COMPARTMENT, YOU WILL HEAR THE GONG.",
"FIRE (verb) , FIRES, FIRED, FIRED",,1,"To ignite, or to operate items that contain an explosive material",FIRE THE CARTRIDGES.,
FIRST,adverb,1,Before other persons or things,FILL THE INNER TANKS FIRST.,
FIT,noun,1,"The relation between two related parts, a limit of tolerance",YOU WILL FIND DATA ABOUT FITS AND CLEARANCES IN SECTION 9001.,
FLAME,noun,1,Burning gas,"IF YOU SEE FLAMES FROM THE EXHAUST PIPE, STOP THE ENGINE.",
FLAMMABLE,adjective,1,That burns easily,THE SOLVENT IS FLAMMABLE.,
FLANGE,noun,1,An end surface at an angle,MAKE SURE THAT THE FLANGE IS NOT DAMAGED.,
"FLASH (verb) , FLASHES, FLASHED, FLASHED",,1,To come on and go off frequently,THE RED LIGHTS FLASH IN HALF-SECOND INTERVALS.,
FLAT (adjective),"FLATTER, FLATTEST",1,That has a continuous surface in the same plane,LUBRICATE ONE SIDE OF THE FLAT WASHERS.,
FLEXIBLE,adjective,1,That can easily bend again and again,CONNECT THE FLEXIBLE HOSES TO THE PUMP.,
FLIGHT,noun,1,The time an aircraft is in the air,"AFTER EACH FLIGHT, READ THE COUNTER UNIT INDICATIONS.",
FLOW,noun,1,A continuous movement of fluid,AN ARROW ON THE FUEL VALVE SHOWS THE DIRECTION OF THE FLOW.,
"FLOW (verb) , FLOWS, FLOWED, FLOWED",,1,To move as a fluid moves,THE OIL MUST FLOW OUT OF THE VALVE.,
FLUID,noun,1,Liquid or gas,THESE FLUIDS CAN CAUSE CORROSION.,
FLUSH,adjective,1,Of a surface that is level or continuous with another surface,MAKE SURE THAT THE DOOR IS FLUSH WITH THE FUSELAGE SKIN.,
"FLUSH (verb) , FLUSHES, FLUSHED, FLUSHED",,1,To remove something or to operate with a flow of liquid,FLUSH THE TUBES WITH PRESSURIZED FUEL.,
"FOLD (verb) , FOLDS, FOLDED, FOLDED",,1,To double over or to cause to double over on itself,DISENGAGE THE UPPER AND LOWER GUIDE ARMS AND FOLD THEM BACK.,
FOLLOW,verb,1,"To come after, to go after",THIS TEST FOLLOWS THE INSTALLATION OF THE HP PUMP.,
FOLLOW,verb,1,"For other meanings, use:",FOLLOW THE GREEN LIGHTS TO THE NEAREST STAIRCASE.,
FOR,preposition,1,"Function word that shows purpose, intent, time, result, or the object of an action",LET THE POTTING COMPOUND DRY FOR ONE HOUR.,
FOR EXAMPLE,,1,Used to introduce something chosen as a typical case,"WHEN YOU REMOVE THE STUD, USE APPLICABLE TOOLS. FOR EXAMPLE, USE A PLASTIC MALLET AND A PUNCH.",
FORWARD,adjective,1,Nearer to the front,THE CONTROL UNIT IS INSTALLED IN THE FORWARD PART OF THE CARGO COMPARTMENT.,
FORWARD,adverb,1,In the direction of the front,MOVE THE LEVERS FORWARD.,
FORWARD OF,preposition,1,At a position nearer to the front,THE TENSION REGULATOR IS INSTALLED FORWARD OF THE PRESSURE BULKHEAD.,
FREE,adjective,1,That can move easily,MAKE SURE THAT THE NUTS ARE FREE TO TURN ON THE SLEEVES.,
FREELY,adverb,1,That can move easily,OXYGEN MUST FLOW FREELY FROM THE END OF THE HOSE.,
"FREEZE (verb) , FREEZES, FROZE, FROZEN",,1,To go or cause to go to a temperature below the freezing point of a liquid (usually of water),FREEZE THE BUSHINGS AS FOLLOWS:,
FREQUENT,adjective,1,That occurs or is found often at short intervals,FREQUENT INSPECTIONS OF THESE AREAS ARE NECESSARY.,
FREQUENTLY,adverb,1,At frequent or short intervals,MONITOR THE INDICATORS FREQUENTLY.,
FROM,preposition,1,"Function word that shows a point of departure for movement, time, distance, action, or separation",REMOVE THE PROTECTIVE COVER FROM THE NEW ASSEMBLY.,
FRONT,adjective,1,Nearer to the person that looks or a reference point Refer also to IN FRONT OF.,THERE IS A “FAULT” LIGHT ON THE FRONT FACE OF THE COMPUTER.,
FRONT,noun,1,The front part or the front surface,CLEAN THE FRONT OF THE MOUNTING FLANGE WITH SOLVENT.,
FULL (adjective),"FULLER, FULLEST",1,"At or related to maximum travel, length, quantity, or detail",MAKE SURE THAT THE RESERVOIR IS FULL.,
FULLY,adverb,1,"At or related to maximum travel, length, quantity, or detail",TURN THE CONTROL TO THE FULLY CLOSED POSITION.,
FUNCTION,noun,1,Action or activity that a person or thing does,THE PRIMARY FUNCTION OF THIS UNIT IS TO CONTROL THE FUEL FLOW.,
GAS,noun,1,A fluid that has no shape or volume and that can expand,THE TEMPERATURE SENSING UNIT IS A CAPILLARY TUBE FILLED WITH GAS.,
GENERAL,adjective,1,"Of, or related to something as a whole, not detailed",THIS SECTION GIVES GENERAL MAINTENANCE PROCEDURES.,
"GET (verb) , GETS, GOT No other verb forms .",,1,"To obtain, to come into the state of having Do not use this word to mean BECOME, GO, DECREASE, INCREASE. Refer to rule 9.2 and the entries from “get” until “get to” that follow.","IF YOU GET THE FLUID ON YOUR SKIN, FLUSH YOUR SKIN IMMEDIATELY WITH CLEAN WATER.",
"GIVE (verb) , GIVES, GAVE, GIVEN",,1,To provide,THIS SECTION GIVES THE CLEANING PROCEDURES FOR THE DISASSEMBLED PARTS.,
GLOSSY (adjective),"GLOSSIER, GLOSSIEST",1,Smooth and shiny,APPLY THE PATCH WITH THE MATT SIDE AGAINST THE GLOSSY SURFACE.,
"GO (verb) , GOES, WENT No other verb forms.",,1,To move to or from something,MAKE SURE THAT THE POINTER GOES OUT OF VIEW.,
"GO OFF (verb) , GOES OFF, WENT OFF No other verb forms.",,1,To become dark when an internal power source is de-energized,THE ANNUNCIATOR LIGHT GOES OFF.,
GOOD (adjective),"BETTER, BEST",1,That is satisfactory,THIS MATERIAL GIVES GOOD PROTECTION FROM CORROSION.,
GRADUALLY,adverb,1,Slowly and continuously,GRADUALLY OPEN THE COCKS ON THE RECHARGING UNIT.,
GROOVE,noun,1,A long channel that is not wide,INSTALL THE O-RING IN ITS GROOVE ON THE PISTON.,
GROUND,noun,1,The surface of the earth,YOU CAN ONLY DO THIS PROCEDURE ON THE GROUND.,
"GROUND (verb) , GROUNDS, GROUNDED, GROUNDED",,1,To connect to the ground or to a large object of zero potential,GROUND THE FUEL TANKS.,
GROUP,noun,1,Objects that are related,THIS GROUP OF SEALING COMPOUNDS IS ALSO APPLICABLE IN AN EMERGENCY.,
"HANG (verb) , HANGS, HUNG, HUNG",,1,To attach or to be attached to something above with no support from below,HANG THE SHACKLE ON THE HOIST.,
HARD (adjective),"HARDER, HARDEST",1,"Not easy to cut, not easy to go into or through","IF THE SURFACE IS HARD, USE A CARBIDE DRILL.",
"HAVE (verb) , HAS, HAD No other verb forms.",,1,To possess as a part or quality,THE SYSTEM HAS AN EMERGENCY WARNING DEVICE.,
HEAD,noun,1,The top of something,MAKE SURE THAT THE HEAD OF THE BOLT IS DOWN.,
"HEAR (verb) , HEARS, HEARD, HEARD",,1,To know by sound in the ear,MAKE SURE THAT YOU HEAR THE AUDIO SIGNALS IN ALL THE CREW HEADSETS.,
HEAT,noun,1,The condition or quality of being hot,USE HEAT TO CURE THE POLYSULPHIDE SEALANT.,
HEAVY (adjective),"HEAVIER, HEAVIEST",1,"That has a large mass, weight, or force",A SUPPORT WILL BE NECESSARY BECAUSE THE CONTROL UNIT IS HEAVY.,
HEIGHT,noun,1,The vertical distance,THE HEIGHT FROM THE GROUND TO THE TOP OF THE FIN CAN CHANGE.,
"HELP (verb) , HELPS, HELPED, HELPED",,1,To make something easier or better,PETROLATUM HELPS TO PREVENT CORROSION OF THE TERMINALS.,
HERE,adverb,1,In this position,"TO DOWNLOAD THE FILE, CLICK HERE.",
HIGH (adjective),"HIGHER, HIGHEST",1,That is of large value,USE THE SPECIAL PROTECTION FOR STORAGE IN HIGH TEMPERATURES.,
"HIT (verb) , HITS, HIT, HIT",,1,To touch suddenly and with much force,DO NOT HIT THE CARTRIDGE.,
"HOLD (verb) , HOLDS, HELD, HELD",,1,1. To continue to have in the hand or grip,HOLD THE ROD TIGHTLY.,
HOLE,noun,1,An empty space in a solid object,MAKE SURE THAT THE HOLES IN THE BUSHING ALIGN WITH THOSE IN THE HOUSING.,
HORIZONTAL,adjective,1,Parallel to the horizon or a baseline,ADJUST THE SLING UNTIL THE FLAP IS HORIZONTAL.,
HORIZONTALLY,adverb,1,In a horizontal position,THE VALVE IS INSTALLED HORIZONTALLY.,
HOT (adjective),"HOTTER, HOTTEST",1,At a high temperature,DRY THE SURFACE WITH HOT AIR.,
HOW,adverb,1,By which manner,PARAGRAPH 7.0 TELLS YOU HOW TO INSTALL THE UNIT.,
HYDRAULIC,adjective,1,"Related to, or operated by, pressurized liquid",CONNECT THE FITTINGS TO THE HYDRAULIC TEST BENCH.,
HYDRAULICALLY,adverb,1,With hydraulic power,MAKE SURE THAT THE LINES ARE HYDRAULICALLY OPERATED.,
IDENTIFICATION,noun,1,Something that identifies an object,MAKE SURE THAT THE NAMEPLATE SHOWS THE CORRECT IDENTIFICATION OF THE UNIT.,
IDENTIFY,verb,1,1. To use a specified code or marking to supply with an identity,IDENTIFY THE WIRES WITH SLEEVES OF DIFFERENT COLORS.,
IDENTIFY,verb,1,"FIND
              (verb)",FIND THE DAMAGED AREAS.,Identify the damaged areas.
IF,conjunction,1,"In the event that, on the condition that, in case of","IF YOU USE A REPLACEMENT FAIRING PLATE, CUT IT UNTIL YOU GET THE CORRECT MATING DIMENSION.",
"IGNORE (verb) , IGNORES, IGNORED, IGNORED",,1,"Not to think about something, not to do something about",IGNORE THE VIBRATION INDICATIONS.,
"ILLUMINATE (verb) , ILLUMINATES, ILLUMINATED, ILLUMINATED",,1,"To make something visible with an external light source For lights or lamps, use:",THE EMERGENCY LIGHTS COME ON TO ILLUMINATE THE EVACUATION PATH.,
IMMEDIATELY,adverb,1,Without a gap of time or space,MAKE SURE THAT THE EMERGENCY LIGHT IMMEDIATELY GOES BACK TO ”OFF.”,
IMPORTANT,adjective,1,That has a significant effect,THESE PROCEDURES ARE VERY IMPORTANT.,
IN,adverb,1,"To, or into a location or position",MAKE SURE THAT THE SWITCHES ARE PUSHED IN.,
IN,preposition,1,"Function word that shows location, position, condition, time, or limits",LET THE SWITCH STAY IN THE SET POSITION.,
IN FRONT OF,preposition,1,In a position ahead of,PUT CHOCKS IN FRONT OF THE WHEELS.,
IN PROGRESS,adverb,1,Occurring,"IF AN INTERACTIVE SESSION IS IN PROGRESS, LET IT CONTINUE UNTIL IT IS FULLY COMPLETED.",
INBOARD,adjective,1,Nearer to the longitudinal axis,REMOVE THE INBOARD FAIRING OF THE FLAP HINGE.,
INBOARD,adverb,1,In or to a position nearer to the longitudinal axis,THE LANDING GEAR RETRACTS INBOARD INTO THE BAY.,
INBOARD OF,preposition,1,At a position nearer to the longitudinal axis,PUT THE ACCESS PLATFORM IN POSITION BELOW THE ACCESS PANEL THAT IS INBOARD OF THE FLAP TRACK.,
INCIDENT,noun,1,An important occurrence that can cause damage or have dangerous results,RECORD ALL INCIDENTS OF WATER FOUND IN THE FUEL.,
"INCLUDE (verb) , INCLUDES, INCLUDED, INCLUDED",,1,"To make, or to be, part of",THIS CHAPTER INCLUDES THE PROCEDURES FOR THE REMOVAL OF THE COMPONENTS.,
